"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Adam Cracknell","17-18","NYR/ DAL","R","5","38.55","--","--","--","--","--","--","0.15","0.23","27","36","-9","42.86","-11.45","--","2","-2","--","-47.83","0.87","2.27","-1.4","27.71","-27.91","--","--","--","8","12.45","0.4","0.62","--","91.67","36.84","13.41","29.47","43.79","30.25","54.55"
"Boo Nieves","17-18","NYR","C","28","285.57","1","8","9","5","1.89","1.05","5.83","1.22","231","296","-65","43.83","-3.4","15","9","6","62.5","13.33","11.74","13.1","-1.36","47.26","-2.32","5","1","-4","35","7.35","1.67","0.35","4.35","106.26","43.17","17.21","28.92","43.84","28.91","51.83"
"Brady Skjei","17-18","NYR","D","82","1723.28","4","18","22","12","0.77","0.42","18.82","0.66","1568","1782","-214","46.81","-0.08","61","92","-31","39.87","-9.67","86.14","92.75","-6.61","48.15","0.45","19","15","-4","282","9.82","9.05","0.32","2.61","97.83","54.45","34.74","28.92","46.87","31.38","51.01"
"Brendan Smith","17-18","NYR","D","44","756","1","7","8","5","0.63","0.4","6.3","0.5","640","791","-151","44.72","-2.78","34","46","-12","42.5","-8.09","33.53","44.13","-10.6","43.18","-7.39","26","20","-6","119","9.44","3.93","0.31","1.52","98.92","49.32","28.77","27.72","44.19","30.38","52.73"
"Chris Kreider","17-18","NYR","C","58","905.87","16","21","37","27","2.45","1.79","37.02","2.45","1048","766","282","57.77","14.97","59","37","22","61.46","17.58","58","37.52","20.48","60.72","17.71","21","12","-9","236","15.63","17.82","1.18","11.68","101.59","60.58","25.91","33.87","52.42","31.31","44.77"
"Cody Mcleod","17-18","NSH/ NYR","L","48","354.4","1","3","4","2","0.68","0.34","-3.4","-0.58","247","397","-150","38.35","-10.26","7","18","-11","28","-22.88","10.44","17.18","-6.74","37.8","-10.52","24","20","-4","48","8.13","3.8","0.64","2.78","96.96","46.99","12.71","27.17","47.5","27.5","49.72"
"Daniel Catenacci","17-18","NYR","C","1","11.05","--","--","--","--","--","--","-0.62","-3.37","7","19","-12","26.92","-20.8","--","1","-1","--","-50","0.24","0.51","-0.27","32","-24.98","--","--","--","1","5.43","0.15","0.81","--","90.91","33.33","18.75","27.4","45.57","27.53","46.66"
"David Desharnais","17-18","NYR","C","71","927.03","6","22","28","14","1.81","0.91","11.84","0.77","822","863","-41","48.78","2.16","39","51","-12","43.33","-1.79","43.49","42.44","1.05","50.61","3.97","9","10","1","98","6.34","5.65","0.37","10.91","98.26","59.34","21.84","30.45","51.44","29.41","46.33"
"Filip Chytil","17-18","NYR","C","9","122.48","1","2","3","2","1.47","0.98","0.72","0.35","101","142","-41","41.56","-7.29","3","9","-6","25","-10.71","5.03","7.79","-2.76","39.24","-4.91","2","1","-1","31","15.19","2.35","1.15","4.76","95.29","47.95","23.09","29.97","47.24","29.69","49.32"
"Jesper Fast","17-18","NYR","R","71","1056.6","13","19","32","27","1.82","1.53","22.35","1.27","819","1191","-372","40.75","-7.24","48","73","-25","39.67","-12.17","42.46","67.28","-24.82","38.69","-12.18","13","16","3","134","7.61","11.76","0.67","16.25","99.45","37.75","24.84","30.47","42.8","32.25","55.2"
"Jimmy Vesey","17-18","NYR","L","79","1132.17","17","11","28","25","1.48","1.32","22.28","1.18","1051","1101","-50","48.84","2.45","52","61","-9","46.02","-1.59","57.3","55.42","1.88","50.83","3.92","7","15","8","240","12.72","19.76","1.05","12.5","99.77","55.06","23.95","30.55","50.37","29.88","47.23"
"John Gilmour","17-18","NYR","D","28","480.93","2","3","5","3","0.62","0.37","7.03","0.88","514","477","37","51.87","7.45","22","30","-8","42.31","-1.28","26.14","26.82","-0.68","49.36","6.01","7","2","-5","129","16.09","3.19","0.4","3.28","97.28","59.46","28.51","28.44","48.73","29.81","48.3"
"J T..miller","17-18","NYR/ T.B","C","82","1395.67","23","35","58","42","2.49","1.81","46.64","2.01","1438","1300","138","52.52","5.82","86","72","14","54.43","9.62","76.8","68.98","7.82","52.68","4.42","18","10","-8","236","10.15","18.52","0.8","16.2","101.13","60.47","28.1","32.81","53.08","30.92","46.34"
"Kevin Hayes","17-18","NYR","R","76","1318.85","25","19","44","35","2","1.59","36.84","1.68","1138","1433","-295","44.26","-3.73","62","72","-10","46.27","0.01","65.77","80.93","-15.16","44.83","-4.59","10","9","-1","268","12.19","18.25","0.83","14.53","100.66","36.6","28.71","32.2","46.47","33.13","53.07"
"Kevin Shattenkirk","17-18","NYR","D","46","932.48","5","18","23","18","1.48","1.16","17.4","1.12","975","816","159","54.44","10.06","49","45","4","52.13","0.34","52.6","41.23","11.37","56.06","8.31","23","7","-16","188","12.1","5.24","0.34","5.32","99.22","71.6","33.41","32.62","53.95","30.84","44.77"
"Lias Andersson","17-18","NYR","C","7","83.62","1","1","2","2","1.44","1.44","1.19","0.85","70","96","-26","42.17","-5.48","4","4","--","50","20.37","2.55","5.87","-3.32","30.29","-16.76","--","1","1","10","7.18","0.29","0.21","20","105.67","44.23","20.6","28.9","44.67","29.09","51.15"
"Marc Staal","17-18","NYR","D","72","1334.32","1","7","8","5","0.36","0.22","1.85","0.08","994","1560","-566","38.92","-10.55","54","64","-10","45.76","-3.89","54.53","80.38","-25.85","40.42","-11.2","9","8","-1","147","6.61","4.75","0.21","1.47","101.79","29.31","31.1","29.06","42.64","32.8","56.09"
"Mats Zuccarello","17-18","NYR","C","80","1513.9","16","36","52","39","2.06","1.55","42.65","1.69","1524","1435","89","51.5","6.58","84","73","11","53.5","9.97","92.35","74.39","17.96","55.39","10.85","18","19","1","290","11.49","18.09","0.72","9.04","100.59","59.1","31.32","33.93","51.32","32.41","47.63"
"Matt Beleskey","17-18","BOS/ NYR","L","7","78.27","--","--","--","--","--","--","-1.79","-1.37","56","81","-25","40.88","-10.35","1","5","-4","16.67","-33.33","2.59","3.86","-1.27","40.16","-7.17","3","3","--","16","12.27","0.76","0.58","--","92.21","60.87","19.11","28.89","53.17","28.69","47.91"
"Michael Grabner","17-18","NYR/ N.J","R","80","1185.45","27","9","36","32","1.82","1.62","33.3","1.69","949","1357","-408","41.15","-8.41","51","52","-1","49.51","1.34","54.42","72.81","-18.39","42.77","-8.57","8","13","5","260","13.16","22.86","1.16","16.17","102.07","39.41","24.65","31.38","43.3","32.65","55.35"
"Mika Zibanejad","17-18","NYR","C","72","1293.27","27","20","47","37","2.18","1.72","53.77","2.49","1464","1150","314","56.01","12.96","71","72","-1","49.65","6.1","84.93","59.03","25.9","59","16.39","7","17","10","367","17.03","23.01","1.07","12.74","97.16","57.13","29.67","34.65","50.3","33.14","47.29"
"Neal Pionk","17-18","NYR","D","28","626.85","1","11","12","7","1.15","0.67","5.3","0.51","495","717","-222","40.84","-8.69","29","32","-3","47.54","6.97","22.72","38.65","-15.93","37.02","-12.48","6","2","-4","104","9.95","2.51","0.24","1.85","102.57","38.98","37.34","29.91","46.7","32.52","52.46"
"Nick Holden","17-18","NYR/ BOS","D","73","1387.45","4","12","16","10","0.69","0.43","13.3","0.58","1150","1447","-297","44.28","-6.11","64","73","-9","46.72","-4.9","61.88","70.33","-8.45","46.8","-6.57","7","4","-3","191","8.26","4.53","0.2","5","100.94","40.1","31.75","28.62","46.27","31.33","53.45"
"Paul Carey","17-18","NYR","C","60","615.6","7","7","14","12","1.36","1.17","1.9","0.19","443","673","-230","39.7","-6.87","19","36","-17","34.55","-18.79","20.1","29.98","-9.88","40.14","-8.61","10","5","-5","93","9.06","5.16","0.5","13.73","98.36","45.68","17.42","28.27","44.83","28.68","51.5"
"Pavel Buchnevich","17-18","NYR","L","74","1110.88","14","29","43","32","2.32","1.73","39.83","2.15","1250","979","271","56.08","12.37","64","39","25","62.14","19.19","68.01","48.09","19.92","58.58","14.71","7","16","9","266","14.37","13.52","0.73","10.29","102.41","67.82","25.01","34.11","53.57","30.92","44.29"
